,parcel,taxpayer,role_percentage,mkt_value_land,mkt_value_impvt,new_constr,mkt_total,pers_prop_assd_value,taxable_reg,prop_use_desc
569433,36334.0808,5322 LACEY RESIDENTIAL LAND TRUST,100.0,20000,118500,0,138500,0,138500,12 Two-to-Four Unit
569432,36334.0808,5322 LACEY RESIDENTIAL LAND TRUST,100.0,16000,115700,0,131700,0,131700,12 Two-to-Four Unit
569431,36334.0808,5322 LACEY RESIDENTIAL LAND TRUST,100.0,16000,101600,0,117600,0,117600,12 Two-to-Four Unit
569434,36334.0808,5322 LACEY RESIDENTIAL LAND TRUST,100.0,20000,127800,0,147800,0,147800,12 Two-to-Four Unit
425696,35242.3439,ANNA F BENNETT TRUST,100.0,9230,51200,0,60430,0,60430,14 Hotel/Condo
425697,35242.3439,ANNA F BENNETT TRUST,100.0,9230,60000,0,69230,0,69230,14 Hotel/Condo
425698,35242.3439,ANNA F BENNETT TRUST,100.0,9230,62200,0,71430,0,71430,14 Hotel/Condo
425699,35242.3439,ANNA F BENNETT TRUST,100.0,24620,74300,0,98920,0,98920,14 Hotel/Condo
35021,11041.9028,BADGER LAKE ESTATES LLC,100.0,43750,0,0,43750,0,43750,91 Vacant Land
37231,12336.9028,BADGER LAKE ESTATES LLC,100.0,1166970,1067300,0,2234270,0,2234270,75 Resort - Camping
37230,12336.9028,BADGER LAKE ESTATES LLC,100.0,1166970,989400,0,2156370,0,2156370,75 Resort - Camping
37229,12336.9028,BADGER LAKE ESTATES LLC,100.0,1166970,989400,0,2156370,0,2156370,15 Mobile Home Park
35020,11041.9028,BADGER LAKE ESTATES LLC,100.0,43750,0,0,43750,0,43750,91 Vacant Land
35019,11041.9028,BADGER LAKE ESTATES LLC,100.0,38500,0,0,38500,0,38500,91 Vacant Land
35018,11041.9028,BADGER LAKE ESTATES LLC,100.0,38500,0,0,38500,0,38500,91 Vacant Land
35012,11041.9026,BADGER LAKE ESTATES LLC,100.0,25000,0,0,25000,0,25000,91 Vacant Land
